Well Number,Standard Time (24 Hour) YYYY/MM/DD HH:MM:SS,Pressure (psia),Temperature (C),Logical Probe,Probe Status,Probe Description,Port Number,Port Description,Depth (m),Comments,Pressure Head = ((P2-Patm)/w) - (m),Piez. Zone Level (m) Dz = Dp - H,Head (m),Gradient
1,7/4/2024 11:19,13.94,25.52,1,Arm In - Valve Closed,Tool #1,0,Atmos. Port,0,,,,,
1,7/4/2024 11:19,13.94,25.52,1,Arm In - Valve Closed,Tool #1,0,Atmos. Port,0,,,,,
1,7/4/2024 11:19,13.94,25.52,1,Arm In - Valve Closed,Tool #1,0,Atmos. Port,0,,,,,
1,7/4/2024 12:24,140.62,4.84,1,Arm Out - Valve Closed,Tool #1,7,port7,124.05,,,,,
1,7/4/2024 12:25,99.06,4.84,1,Shoe Out - Valve Closed,Tool #1,7,port7,124.05,,,,,
1,7/4/2024 12:27,140.57,4.84,1,Arm Out - Valve Closed,Tool #1,7,port7,124.05,,,,,
1,7/4/2024 12:29,133.18,4.85,1,Arm Out - Valve Closed,Tool #1,8,port 8,118.87,,,,,
1,7/4/2024 12:30,133.21,4.84,1,Arm Out - Valve Closed,Tool #1,8,port 8,118.87,,,,,
1,7/4/2024 12:32,138.62,4.81,1,Shoe Out - Valve Closed,Tool #1,8,port 8,118.87,,,,,
1,7/4/2024 12:32,133.2,4.79,1,Arm Out - Valve Closed,Tool #1,8,port 8,118.87,,,,,
1,7/4/2024 12:35,126.67,4.77,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:37,131.35,4.71,1,Shoe Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:39,126.69,4.66,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:39,126.69,4.68,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:39,126.69,4.66,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:39,126.69,4.66,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:39,126.69,4.68,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:39,126.69,4.66,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:39,126.69,4.66,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:39,126.69,4.66,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:39,126.69,4.66,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:39,126.69,4.66,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:39,126.69,4.66,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:39,126.69,4.66,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:39,126.69,4.66,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:39,126.69,4.66,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:39,126.69,4.66,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:39,126.69,4.66,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:39,126.69,4.66,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:39,126.69,4.66,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:39,126.69,4.65,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:39,126.69,4.68,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:39,126.69,4.66,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:39,126.69,4.66,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:39,126.69,4.66,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:39,126.69,4.66,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:39,126.69,4.66,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:39,126.69,4.66,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:39,126.69,4.66,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:39,126.69,4.66,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:39,126.69,4.66,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:39,126.69,4.66,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:39,126.69,4.66,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:39,126.69,4.66,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:39,126.69,4.66,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:39,126.69,4.66,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:39,126.69,4.66,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:39,126.69,4.66,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:39,126.69,4.66,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:39,126.69,4.66,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:39,126.69,4.66,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:39,126.69,4.66,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:39,126.69,4.66,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:40,126.69,4.65,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:40,126.69,4.65,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:40,126.69,4.65,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:40,126.69,4.65,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:40,126.69,4.65,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
1,7/4/2024 12:40,126.69,4.65,1,Arm Out - Valve Closed,Tool #1,9,Port 9,114.3,,,,,
